Project,Package,Class,Smell,Description,File
project-1-team-45-master,org.apache.roller.weblogger.business,URLStrategy,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\URLStrategy.java
project-1-team-45-master,org.apache.roller.weblogger.business,UserManager,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\UserManager.java
project-1-team-45-master,org.apache.roller.weblogger.business,WeblogEntryManager,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 43 methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WeblogEntryManager.java
project-1-team-45-master,org.apache.roller.weblogger.business,Weblogger,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: StaticPlanetModel; GuiceWebloggerProvider; WebloggerFactory; WebloggerProvider; BookmarkTest; JPAAutoPingManagerImpl; JPABookmarkManagerImpl; JPAMediaFileManagerImpl; JPAOAuthManagerImpl; JPAWeblogEntryManagerImpl; JPAWebloggerModule; JPAWeblogManagerImpl; WorkerThread; AddEntryOperation; LuceneIndexManager; RebuildWebsiteIndexOperation; ReIndexEntryOperation; RemoveEntryOperation; RemoveWebsiteIndexOperation; ThemeManagerImpl; Weblog; RollerContext; RollerSessionTest; AuthoritiesPopulator; RollerUserDetailsService; SiteModel; CommentsPager; UsersPager; WeblogEntriesPermalinkPager; WeblogEntriesPreviewPager; WeblogsPager; CommentDataServlet; UserDataServlet; EntryCollection; MediaCollection; RollerAtomHandler; RollerAtomService; TagDataServlet; BloggerAPIHandler; MetaWeblogAPIHandler. Outgoing dependencies: UserManager; BookmarkManager; OAuthManager; WeblogManager; WeblogEntryManager; AutoPingManager; PingTargetManager; PingQueueManager; PropertiesManager; ThreadManager; IndexManager; ThemeManager; PluginManager; MediaFileManager; FileContentManager; URLStrategy; WebloggerException; InitializationException; FeedFetcher; PlanetManager; PlanetURLStrategy,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\Weblogger.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,CommentTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\CommentTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,CommentTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; testUser; testWeblog; testEntry,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\CommentTest.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAMediaFileManagerImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: roller; strategy; log; MIGRATION_STATUS_FILENAME,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAMediaFileManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAMediaFileManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAMediaFileManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAUserManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAUserManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAWeblogEntryManagerImpl,Feature Envy,The tool detected a instance of this smell because updateTagCount is more interested in members of the type: JPAPersistenceStrategy,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAWeblogEntryManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAWeblogEntryManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAWeblogEntryManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAWebloggerModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAWebloggerModule.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAWeblogManagerImpl,Feature Envy,The tool detected a instance of this smell because addWeblogContents is more interested in members of the type: Weblogger,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAWeblogManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.jpa,JPAWeblogManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\jpa\JPAWeblogManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business.pings,AutoPingManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CacheHandler; WeblogEntry; Weblog; WeblogCategory; WeblogEntryManager; WeblogEntrySearchCriteria; User; RollerContext; Weblogger; UserManager; WeblogPermission; WebloggerFactory; WebloggerProvider; BookmarkManager; WeblogBookmarkFolder; WeblogBookmark; WeblogManager; WeblogTemplate; CustomTemplateRendition; AutoPingManager; AutoPing; PingQueueManager; PingQueueEntry; IndexManager; URLStrategy; ThemeManager; WeblogTheme; PluginManager; WeblogEntryComment; MediaFileManager; MediaFile; MediaFileDirectory; FileContent; FileContentManager; PlanetManager; PlanetGroup; CacheManager; GlobalPermission; CommentSearchCriteria; WeblogHitCount; WebloggerRuntimeConfig; WeblogEntryAttribute; WeblogEntryTag; WeblogEntryPlugin,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\pings\AutoPingManager.java
project-1-team-45-master,org.apache.roller.weblogger.business.pings,PingQueueTask,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; NAME; clientId; startTimeDesc; interval; leaseTime,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\pings\PingQueueTask.java
